FolderServerRelativeURL,Users,Permission
/sites/UX-Portal/ELT Foundation  Learning Support/Implementation/SOW & Lesson Resources/Learning Support,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/ELT Foundation  Learning Support/Implementation/SOW & Lesson Resources/Sample Lesson Plans,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/ELT Foundation  Learning Support/Implementation/SOW & Lesson Resources/Sample Marked Work,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/ELT Foundation  Learning Support/Implementation/SOW & Lesson Resources/Schemes Of Work,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/ELT Foundation  Learning Support/Implementation/SOW & Lesson Resources/Student Induction,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/ELT Foundation  Learning Support/Implementation/SOW & Lesson Resources/Unit - Assessment Plans,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/ELT Foundation  Learning Support/Quality/Academic Board Papers,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/ELT Foundation  Learning Support/Quality/Board Of Study,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/ELT Foundation  Learning Support/Quality/Course Reviews,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/ELT Foundation  Learning Support/Quality/EV Reports,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/ELT Foundation  Learning Support/Quality/Position Papers,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/ELT Foundation  Learning Support/Quality/SAR & QIP,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/ELT Foundation  Learning Support/School Information/Development Plan,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/ELT Foundation  Learning Support/School Information/Health & Safety,HCUC Security - All Staff Users,Edit
