FolderServerRelativeURL,Users,Permission
/sites/HA-Portal/Science IT  Media/Applications/Entry Test Materials                   ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Science IT  Media/Applications/Marketing                              ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Science IT  Media/Applications/Taster Day Materials                   ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Science IT  Media/Impact/Student Voice                                ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Science IT  Media/Impact/Results                                      ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Science IT  Media/Impact/Value Added & Progress                       ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Science IT  Media/Impact/Destinations                                 ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Science IT  Media/Quality/Academic Board Papers                       ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Science IT  Media/Quality/Board Of Study                              ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Science IT  Media/Quality/SAR & QIP                                   ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Science IT  Media/Quality/Position Papers                             ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Science IT  Media/Quality/EV Reports                                  ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Science IT  Media/Quality/Course Reviews                              ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Science IT  Media/School Information/Health & Safety                  ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Science IT  Media/School Information/Development Plan                 ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Science IT  Media/School Information/Teaching & Learning Hour         ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Science IT  Media/School Information/Organisational Chart             ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Science IT  Media/School Information/School Meetings                  ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Science IT  Media/School Information/Staff Induction                  ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Science IT  Media/School Information/Planning Calendar                ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Science IT  Media/Working Folder                                      ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Science IT  Media/Implementation/IT/Assignment Briefs                 ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Science IT  Media/Implementation/IT/Awarding Body Documentation       ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Science IT  Media/Implementation/IT/Communication With Parents        ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Science IT  Media/Implementation/IT/Curriculum Specific Resources     ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Science IT  Media/Implementation/IT/Directed Learning                 ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Science IT  Media/Implementation/IT/Employer Engagement               ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Science IT  Media/Implementation/IT/Enrichment                        ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Science IT  Media/Implementation/IT/IV                                ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Science IT  Media/Implementation/IT/Learning Support                  ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Science IT  Media/Implementation/IT/Sample Lesson Plans               ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Science IT  Media/Implementation/IT/Sample Marked Work                ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Science IT  Media/Implementation/IT/Schemes Of Work                   ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Science IT  Media/Implementation/IT/Student Induction                 ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Science IT  Media/Implementation/IT/Unit - Assessment Plans           ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Science IT  Media/Implementation/Media/Assignment Briefs              ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Science IT  Media/Implementation/Media/Awarding Body Documentation    ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Science IT  Media/Implementation/Media/Communication With Parents     ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Science IT  Media/Implementation/Media/Curriculum Specific Resources  ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Science IT  Media/Implementation/Media/Directed Learning              ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Science IT  Media/Implementation/Media/Employer Engagement            ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Science IT  Media/Implementation/Media/Enrichment                     ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Science IT  Media/Implementation/Media/IV                             ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Science IT  Media/Implementation/Media/Learning Support               ,HCUC Security - All Staff Users,Edit
